,SampleId,Sample,Read,Pairedness,Initial,afterTrimmo,afterTrimGal
252,31-F_S49_L003_R2_001,31-F,R2,Unpaired2,NA,NA,227114
253,31-G_S106_L003_R1_001,31-G,R1,Paired,23565210,15693136,11205110
254,31-G_S106_L003_R1_001,31-G,R1,Unpaired1,NA,6870508,6109768
255,31-G_S106_L003_R1_001,31-G,R1,Unpaired2,NA,NA,612608
256,31-G_S106_L003_R2_001,31-G,R2,Paired,23565210,15693136,11205110
257,31-G_S106_L003_R2_001,31-G,R2,Unpaired1,NA,856627,298195
258,31-G_S106_L003_R2_001,31-G,R2,Unpaired2,NA,NA,2062423
259,31-H_S96_L003_R1_001,31-H,R1,Paired,20183109,11497518,10895672
260,31-H_S96_L003_R1_001,31-H,R1,Unpaired1,NA,8446542,8281731
261,31-H_S96_L003_R1_001,31-H,R1,Unpaired2,NA,NA,169703
262,31-H_S96_L003_R2_001,31-H,R2,Paired,20183109,11497518,10895672
263,31-H_S96_L003_R2_001,31-H,R2,Unpaired1,NA,159296,64898
264,31-H_S96_L003_R2_001,31-H,R2,Unpaired2,NA,NA,306203
265,31-M_S92_L003_R1_001,31-M,R1,Paired,26183510,12519808,12018420
266,31-M_S92_L003_R1_001,31-M,R1,Unpaired1,NA,13415819,13235274
267,31-M_S92_L003_R1_001,31-M,R1,Unpaired2,NA,NA,154594
268,31-M_S92_L003_R2_001,31-M,R2,Paired,26183510,12519808,12018420
269,31-M_S92_L003_R2_001,31-M,R2,Unpaired1,NA,107997,62472
270,31-M_S92_L003_R2_001,31-M,R2,Unpaired2,NA,NA,258861
271,31-N_S2_L003_R1_001,31-N,R1,Paired,26561181,15170985,14689590
272,31-N_S2_L003_R1_001,31-N,R1,Unpaired1,NA,11146370,10994915
273,31-N_S2_L003_R1_001,31-N,R1,Unpaired2,NA,NA,184368
274,31-N_S2_L003_R2_001,31-N,R2,Paired,26561181,15170985,14689590
275,31-N_S2_L003_R2_001,31-N,R2,Unpaired1,NA,90136,54812
276,31-N_S2_L003_R2_001,31-N,R2,Unpaired2,NA,NA,250350
277,31-O_S66_L003_R1_001,31-O,R1,Paired,25803407,12760266,12229863
278,31-O_S66_L003_R1_001,31-O,R1,Unpaired1,NA,12789549,12614433
279,31-O_S66_L003_R1_001,31-O,R1,Unpaired2,NA,NA,186252
280,31-O_S66_L003_R2_001,31-O,R2,Paired,25803407,12760266,12229863
281,31-O_S66_L003_R2_001,31-O,R2,Unpaired1,NA,135975,58794
282,31-O_S66_L003_R2_001,31-O,R2,Unpaired2,NA,NA,256473
283,31-P_S56_L003_R1_001,31-P,R1,Paired,23457699,11313058,10989850
284,31-P_S56_L003_R1_001,31-P,R1,Unpaired1,NA,11852478,11735302
285,31-P_S56_L003_R1_001,31-P,R1,Unpaired2,NA,NA,130791
286,31-P_S56_L003_R2_001,31-P,R2,Paired,23457699,11313058,10989850
287,31-P_S56_L003_R2_001,31-P,R2,Unpaired1,NA,118144,37496
288,31-P_S56_L003_R2_001,31-P,R2,Unpaired2,NA,NA,150000
289,36-A_S1_L003_R1_001,36-A,R1,Paired,26316603,14279182,13754078
290,36-A_S1_L003_R1_001,36-A,R1,Unpaired1,NA,11736153,11573819
291,36-A_S1_L003_R1_001,36-A,R1,Unpaired2,NA,NA,165820
292,36-A_S1_L003_R2_001,36-A,R2,Paired,26316603,14279182,13754078
293,36-A_S1_L003_R2_001,36-A,R2,Unpaired1,NA,125849,65970
294,36-A_S1_L003_R2_001,36-A,R2,Unpaired2,NA,NA,278310
295,36-B_S55_L003_R1_001,36-B,R1,Paired,29993157,16700654,16240648
296,36-B_S55_L003_R1_001,36-B,R1,Unpaired1,NA,13010112,12853784
297,36-B_S55_L003_R1_001,36-B,R1,Unpaired2,NA,NA,170415
298,36-B_S55_L003_R2_001,36-B,R2,Paired,29993157,16700654,16240648
299,36-B_S55_L003_R2_001,36-B,R2,Unpaired1,NA,120605,52515
300,36-B_S55_L003_R2_001,36-B,R2,Unpaired2,NA,NA,239072
301,36-C_S57_L003_R1_001,36-C,R1,Paired,23562955,12664393,12285794
302,36-C_S57_L003_R1_001,36-C,R1,Unpaired1,NA,10694683,10555185
303,36-C_S57_L003_R1_001,36-C,R1,Unpaired2,NA,NA,147938
304,36-C_S57_L003_R2_001,36-C,R2,Paired,23562955,12664393,12285794
305,36-C_S57_L003_R2_001,36-C,R2,Unpaired1,NA,79441,42434
306,36-C_S57_L003_R2_001,36-C,R2,Unpaired2,NA,NA,192488
307,36-D_S94_L003_R1_001,36-D,R1,Paired,24193212,13841777,13014007
308,36-D_S94_L003_R1_001,36-D,R1,Unpaired1,NA,10044243,9829133
309,36-D_S94_L003_R1_001,36-D,R1,Unpaired2,NA,NA,281924
310,36-D_S94_L003_R2_001,36-D,R2,Paired,24193212,13841777,13014007
311,36-D_S94_L003_R2_001,36-D,R2,Unpaired1,NA,163521,83074
312,36-D_S94_L003_R2_001,36-D,R2,Unpaired2,NA,NA,367792
313,36-E_S107_L003_R1_001,36-E,R1,Paired,25950785,14866792,11927008
314,36-E_S107_L003_R1_001,36-E,R1,Unpaired1,NA,10384015,9804619
315,36-E_S107_L003_R1_001,36-E,R1,Unpaired2,NA,NA,308647
316,36-E_S107_L003_R2_001,36-E,R2,Paired,25950785,14866792,11927008
317,36-E_S107_L003_R2_001,36-E,R2,Unpaired1,NA,505813,217028
318,36-E_S107_L003_R2_001,36-E,R2,Unpaired2,NA,NA,1401011
319,36-F_S31_L003_R1_001,36-F,R1,Paired,25614859,14598763,14185095
320,36-F_S31_L003_R1_001,36-F,R1,Unpaired1,NA,10809101,10684178
321,36-F_S31_L003_R1_001,36-F,R1,Unpaired2,NA,NA,147140
322,36-F_S31_L003_R2_001,36-F,R2,Paired,25614859,14598763,14185095
323,36-F_S31_L003_R2_001,36-F,R2,Unpaired1,NA,99464,54331
324,36-F_S31_L003_R2_001,36-F,R2,Unpaired2,NA,NA,215258
325,36-G_S7_L003_R1_001,36-G,R1,Paired,28046994,16793621,16314541
326,36-G_S7_L003_R1_001,36-G,R1,Unpaired1,NA,11012063,10858535
327,36-G_S7_L003_R1_001,36-G,R1,Unpaired2,NA,NA,178845
328,36-G_S7_L003_R2_001,36-G,R2,Paired,28046994,16793621,16314541
329,36-G_S7_L003_R2_001,36-G,R2,Unpaired1,NA,98545,54478
330,36-G_S7_L003_R2_001,36-G,R2,Unpaired2,NA,NA,258842
331,36-H_S52_L003_R1_001,36-H,R1,Paired,26011100,15687375,15187783
332,36-H_S52_L003_R1_001,36-H,R1,Unpaired1,NA,10086999,9943115
333,36-H_S52_L003_R1_001,36-H,R1,Unpaired2,NA,NA,168797
334,36-H_S52_L003_R2_001,36-H,R2,Paired,26011100,15687375,15187783
335,36-H_S52_L003_R2_001,36-H,R2,Unpaired1,NA,133789,58608
336,36-H_S52_L003_R2_001,36-H,R2,Unpaired2,NA,NA,276361
337,36-M_S37_L003_R1_001,36-M,R1,Paired,27663376,13524049,13076923
338,36-M_S37_L003_R1_001,36-M,R1,Unpaired1,NA,13858622,13675717
339,36-M_S37_L003_R1_001,36-M,R1,Unpaired2,NA,NA,155760
340,36-M_S37_L003_R2_001,36-M,R2,Paired,27663376,13524049,13076923
341,36-M_S37_L003_R2_001,36-M,R2,Unpaired1,NA,108363,55553
342,36-M_S37_L003_R2_001,36-M,R2,Unpaired2,NA,NA,235380
343,36-N_S40_L003_R1_001,36-N,R1,Paired,28469726,16340521,15873131
