SampleId	afterTrimmo
44-M_S26_L003_R2_001	15232721
44-N_S81_L003_R1_001	12862017
44-N_S81_L003_R2_001	12862017
44-O_S73_L003_R1_001	12439151
44-O_S73_L003_R2_001	12439151
44-P_S93_L003_R1_001	14553557
44-P_S93_L003_R2_001	14553557
50-A_S38_L003_R1_001	16833853
50-A_S38_L003_R2_001	16833853
50-B_S70_L003_R1_001	13438908
50-B_S70_L003_R2_001	13438908
50-C_S45_L003_R1_001	16676219
50-C_S45_L003_R2_001	16676219
50-D_S119_L003_R1_001	12155896
50-D_S119_L003_R2_001	12155896
50-E_S10_L003_R1_001	14473989
50-E_S10_L003_R2_001	14473989
50-F_S62_L003_R1_001	13949766
50-F_S62_L003_R2_001	13949766
50-G_S118_L003_R1_001	17306387
50-G_S118_L003_R2_001	17306387
50-H_S97_L003_R1_001	17141577
50-H_S97_L003_R2_001	17141577
50-M_S21_L003_R1_001	14656434
50-M_S21_L003_R2_001	14656434
50-N_S20_L003_R1_001	13779201
50-N_S20_L003_R2_001	13779201
50-O_S74_L003_R1_001	14284136
50-O_S74_L003_R2_001	14284136
50-P_S86_L003_R1_001	15042974
50-P_S86_L003_R2_001	15042974
62-A_S108_L003_R1_001	16015717
62-A_S108_L003_R2_001	16015717
62-B_S69_L003_R1_001	12668894
62-B_S69_L003_R2_001	12668894
62-C_S15_L003_R1_001	17714958
62-C_S15_L003_R2_001	17714958
62-D_S47_L003_R1_001	15968352
62-D_S47_L003_R2_001	15968352
62-E_S58_L003_R1_001	15639009
62-E_S58_L003_R2_001	15639009
62-F_S28_L003_R1_001	13414853
62-F_S28_L003_R2_001	13414853
62-G_S117_L003_R1_001	14690168
62-G_S117_L003_R2_001	14690168
62-H_S3_L003_R1_001	16571992
62-H_S3_L003_R2_001	16571992
62-M_S64_L003_R1_001	13935192
62-M_S64_L003_R2_001	13935192
62-N_S100_L003_R1_001	16883993
62-N_S100_L003_R2_001	16883993
62-O_S89_L003_R1_001	14277753
62-O_S89_L003_R2_001	14277753
62-P_S43_L003_R1_001	18534483
62-P_S43_L003_R2_001	18534483
7-A_S23_L003_R1_001	12853238
7-A_S23_L003_R2_001	12853238
7-B_S36_L003_R1_001	14537117
7-B_S36_L003_R2_001	14537117
7-C_S32_L003_R1_001	11291465
7-C_S32_L003_R2_001	11291465
7-E_S88_L003_R1_001	11788933
7-E_S88_L003_R2_001	11788933
7-F_S98_L003_R1_001	15878682
7-F_S98_L003_R2_001	15878682
7-G_S48_L003_R1_001	13633697
7-G_S48_L003_R2_001	13633697
7-H_S82_L003_R1_001	15379213
7-H_S82_L003_R2_001	15379213
7-M_S76_L003_R1_001	16588104
7-M_S76_L003_R2_001	16588104
7-N_S11_L003_R1_001	13920562
7-N_S11_L003_R2_001	13920562
7-O_S63_L003_R1_001	12948352
7-O_S63_L003_R2_001	12948352
7-P_S103_L003_R1_001	17163334
7-P_S103_L003_R2_001	17163334
