SampleId	afterTrimGal
41-F_S60_L003_R1_001.T1_unpaired_1	134681
41-F_S60_L003_R2_001.T1.fq.unpaired_trimmed	39253
41-F_S60_L003_R2_001.T1_unpaired_2	177431
41-G_S18_L003_R1_001.T1.fq.unpaired_trimmed	12695673
41-G_S18_L003_R1_001.T1_unpaired_1	200796
41-G_S18_L003_R2_001.T1.fq.unpaired_trimmed	79115
41-G_S18_L003_R2_001.T1_unpaired_2	356571
41-H_S41_L003_R1_001.T1.fq.unpaired_trimmed	11743439
41-H_S41_L003_R1_001.T1_unpaired_1	196975
41-H_S41_L003_R2_001.T1.fq.unpaired_trimmed	67066
41-H_S41_L003_R2_001.T1_unpaired_2	289589
41-M_S34_L003_R1_001.T1.fq.unpaired_trimmed	13639404
41-M_S34_L003_R1_001.T1_unpaired_1	171778
41-M_S34_L003_R2_001.T1.fq.unpaired_trimmed	46763
41-M_S34_L003_R2_001.T1_unpaired_2	175576
41-N_S78_L003_R1_001.T1.fq.unpaired_trimmed	11048759
41-N_S78_L003_R1_001.T1_unpaired_1	146703
41-N_S78_L003_R2_001.T1.fq.unpaired_trimmed	42557
41-N_S78_L003_R2_001.T1_unpaired_2	193604
41-O_S51_L003_R1_001.T1.fq.unpaired_trimmed	11474325
41-O_S51_L003_R1_001.T1_unpaired_1	166423
41-O_S51_L003_R2_001.T1.fq.unpaired_trimmed	64286
41-O_S51_L003_R2_001.T1_unpaired_2	273731
41-P_S24_L003_R1_001.T1.fq.unpaired_trimmed	13703778
41-P_S24_L003_R1_001.T1_unpaired_1	135653
41-P_S24_L003_R2_001.T1.fq.unpaired_trimmed	46739
41-P_S24_L003_R2_001.T1_unpaired_2	160820
44-A_S42_L003_R1_001.T1.fq.unpaired_trimmed	12391785
44-A_S42_L003_R1_001.T1_unpaired_1	165821
44-A_S42_L003_R2_001.T1.fq.unpaired_trimmed	50395
44-A_S42_L003_R2_001.T1_unpaired_2	200758
44-B_S53_L003_R1_001.T1.fq.unpaired_trimmed	9480719
44-B_S53_L003_R1_001.T1_unpaired_1	138355
44-B_S53_L003_R2_001.T1.fq.unpaired_trimmed	50538
44-B_S53_L003_R2_001.T1_unpaired_2	202191
44-C_S5_L003_R1_001.T1.fq.unpaired_trimmed	11578578
44-C_S5_L003_R1_001.T1_unpaired_1	198756
44-C_S5_L003_R2_001.T1.fq.unpaired_trimmed	55252
44-C_S5_L003_R2_001.T1_unpaired_2	267194
44-D_S30_L003_R1_001.T1.fq.unpaired_trimmed	9377753
44-D_S30_L003_R1_001.T1_unpaired_1	161878
44-D_S30_L003_R2_001.T1.fq.unpaired_trimmed	54266
44-D_S30_L003_R2_001.T1_unpaired_2	249889
44-E_S111_L003_R1_001.T1.fq.unpaired_trimmed	9005311
44-E_S111_L003_R1_001.T1_unpaired_1	152999
44-E_S111_L003_R2_001.T1.fq.unpaired_trimmed	108784
44-E_S111_L003_R2_001.T1_unpaired_2	641048
44-F_S87_L003_R1_001.T1.fq.unpaired_trimmed	10864481
44-F_S87_L003_R1_001.T1_unpaired_1	130632
44-F_S87_L003_R2_001.T1.fq.unpaired_trimmed	39461
44-F_S87_L003_R2_001.T1_unpaired_2	166623
44-G_S14_L003_R1_001.T1.fq.unpaired_trimmed	11217195
44-G_S14_L003_R1_001.T1_unpaired_1	175441
44-G_S14_L003_R2_001.T1.fq.unpaired_trimmed	50666
44-G_S14_L003_R2_001.T1_unpaired_2	230482
44-H_S59_L003_R1_001.T1.fq.unpaired_trimmed	11088008
44-H_S59_L003_R1_001.T1_unpaired_1	159616
44-H_S59_L003_R2_001.T1.fq.unpaired_trimmed	50643
44-H_S59_L003_R2_001.T1_unpaired_2	224912
44-M_S26_L003_R1_001.T1.fq.unpaired_trimmed	12037054
44-M_S26_L003_R1_001.T1_unpaired_1	149768
44-M_S26_L003_R2_001.T1.fq.unpaired_trimmed	51658
44-M_S26_L003_R2_001.T1_unpaired_2	224073
44-N_S81_L003_R1_001.T1.fq.unpaired_trimmed	11349352
44-N_S81_L003_R1_001.T1_unpaired_1	133231
